store,address,Latitude,Longitude
홈플러스영등포점,서울특별시 영등포구 당산로 42 홈플러스영등포점,37.5181504,126.8958956
홍대공항철도역점,서울특별시 마포구 양화로 183,37.558355,126.9251544
홍대역점,서울특별시 마포구 양화로 161 2층,37.5568946,126.9233
합정카페거리점,서울특별시 마포구 독막로 13,37.5487791,126.9150434
홈플러스시흥점,서울특별시 금천구 시흥대로 201,37.4519767,126.900714
길동사거리점,서울특별시 강동구 천호대로 1120 1층,37.534426,127.1356131
동교동점,서울특별시 마포구 동교로 207,37.558566,126.9231933
서교동점,서울특별시 마포구 월드컵북로 9-1,37.5557082,126.9203642
합정역점,서울특별시 마포구 독막로 2,37.5484849,126.9136218
당산역점,서울특별시 영등포구 당산로 223 1층,37.5337706,126.9012083
돈암중앙점,서울특별시 성북구 동소문로 118 1층,37.5932927,127.0181507
성신여대입구역점,서울특별시 성북구 아리랑로 9,37.59366,127.0159468
신도림테크노마트점,서울특별시 구로구 새말로 97 신도림테그노마트 B1층,37.5070431,126.8902185
연희점,서울특별시 서대문구 연희로 79,37.5654475,126.9295677
합정메세나폴리스점,서울특별시 마포구 양화로 45 메세나폴리스 지하1층,37.5510614,126.9133225
암사역점,서울특별시 강동구 올림픽로 769 삼정빌딩 1층,37.5499258,127.1271579
올리브영 회기,서울특별시 동대문구 이문로 30 올리브영,37.5900311,127.056239
현대아울렛가산점,서울특별시 금천구 디지털로10길 9,37.4773564,126.8891438
합정교보점,서울특별시 마포구 월드컵로1길 14,37.5495927,126.9121968
가산더블유몰점,서울특별시 금천구 디지털로 188 더블유몰 지하1층,37.4773219,126.8876475
경희대점,서울특별시 동대문구 경희대로 2,37.5917699,127.0525463
디큐브시티점,서울특별시 구로구 경인로 662 디큐브시티 지하2층,37.50904,126.889424
사가정역점,서울특별시 중랑구 면목로 310 극장빌딩 1층,37.5795641,127.0879688
휘경동점,서울특별시 동대문구 망우로 78 휘경빌딩 1층,37.5916167,127.0669046
신도림점,서울특별시 구로구 경인로 661,37.5093957,126.8877258
길동역점,서울특별시 강동구 양재대로 1481 1층,37.5382362,127.1398871
가산디지털단지역점,서울특별시 금천구 벚꽃로 286,37.4803075,126.8841943
망원역점,서울특별시 마포구 월드컵로 74,37.5557302,126.9106996
문래점,서울특별시 영등포구 선유로 63 1층,37.5195897,126.8890304
가산점,서울특별시 금천구 가산디지털1로 171,37.4806318,126.8805702
선유도역점,서울특별시 영등포구 양평로 127,37.537753,126.8934726
종암점,서울특별시 성북구 종암로 123 우영타워 102호,37.6009582,127.0331516
홈플러스강동점,서울특별시 강동구 양재대로 1571 홈플러스 강동점 1층,37.5456582,127.1422439
길음역점,서울특별시 성북구 정릉로 376 BR빌딩 지하 2층,37.6020035,127.0252417
중랑점,서울특별시 중랑구 망우로32길 6,37.5935215,127.0763015
망원동점,서울특별시 마포구 망원로 71 (망원동 423-4번지 1층),37.557527,126.9047654
홈플러스월곡점,서울특별시 성북구 화랑로 76 홈플러스월곡점 B1층,37.6017514,127.0403249
가재울뉴타운점,서울특별시 서대문구 가재울미래로 2 가재울뉴타운 4구역 103동 상가 1층,37.5705054,126.9133646
구일역점,서울특별시 구로구 구일로10길 49 (구로동 다원그린빌) 1층,37.4824954,126.8995898
동덕여대점,서울특별시 성북구 화랑로11길 31,37.6037127,127.0419926
홍제역점,서울특별시 서대문구 통일로 446,37.5887117,126.9445397
명일역점,서울특별시 강동구 양재대로 1637 1층 2호~4호,37.5516741,127.1438047
길음점,서울특별시 성북구 길음로 33 길음뉴타운상가 A동 1층 3호,37.6074709,127.0180208
명지대점,서울특별시 서대문구 거북골로 25-1,37.5798143,126.9245946
정릉점,서울특별시 성북구 보국문로 38 2층,37.6078351,127.0103588
마포구청역점,서울특별시 마포구 월드컵로 196 대명비첸시티 1층,37.5647641,126.9027386
상봉역점,서울특별시 중랑구 망우로 302-1,37.5962478,127.0861096
오목교역점,서울특별시 양천구 오목로 344 청학빌딩,37.523773,126.875221
올리브영 목동,서울특별시 양천구 목동서로 159-1 CBS방송국 내 1층,37.5282135,126.8749471
상봉듀오트리스점,서울특별시 중랑구 상봉로 131 (상봉 듀오트리스),37.5973459,127.0921726
중화역점,서울특별시 중랑구 동일로 802 1층,37.6020457,127.079699
하월곡점,서울특별시 성북구 월계로 52,37.6114424,127.0355496
목동하이페리온점,서울특별시 양천구 오목로 300,37.5241644,126.8703368
종로평창점,서울특별시 종로구 평창11길 8,37.6063111,126.9668946
북가좌동점,서울특별시 서대문구 거북골로 191,37.5778556,126.9093879
홈플러스월드컵점,서울특별시 마포구 월드컵로 240 홈플러스월드컵점 2층,37.5675388,126.8973256
고덕점,서울특별시 강동구 동남로75길 13-15 성은빌딩 1층,37.5536229,127.1554804
양천구청점,서울특별시 양천구 목동동로 73 1층,37.5157593,126.862801
응암오거리점,서울특별시 은평구 응암로 180,37.5880147,126.9170297
개봉역북부점,서울특별시 구로구 경인로40길 41 181-5번지 외 2필지,37.4949883,126.8590223
염창역점,서울특별시 강서구 공항대로 637 1층,37.5472289,126.8757931
목동역점,서울특별시 양천구 목동로 203,37.5266578,126.8637816
신내점,서울특별시 중랑구 신내로72,37.6083906,127.0954925
목동사거리점,서울특별시 강서구 등촌로 15,37.53126,126.8634719
석계역점,서울특별시 노원구 석계로1길 14,37.6155226,127.0638982
신정점,서울특별시 양천구 신월로 349 (신정동),37.5220993,126.8598358
은평구청점,서울특별시 은평구 은평로 194,37.6011049,126.9292847
등촌점,서울특별시 양천구 목동중앙북로7길 20,37.5487118,126.8675673
상암ENM점,서울특별시 마포구 상암산로 66 CJ E&M 센터 1층,37.5784979,126.8916963
신정네거리역점,서울특별시 양천구 중앙로 252,37.5026898,126.8626537
미아역점,서울특별시 강북구 도봉로 188,37.6255977,127.0267831
상암MBC점,서울특별시 마포구 성암로 267 MBC 신사옥상업시설 1층,37.5740931,126.9035854
응암점,서울특별시 은평구 은평로 97 동아빌딩 1층,37.5998352,126.9184744
상일동점,서울특별시 강동구 상일로10길 36 세종텔레콤 지식산업센터1층 110-3호,37.550851,127.17401
응암역점,서울특별시 은평구 증산로 475 (신사동),37.5986006,126.9153248
광운대역점,서울특별시 노원구 석계로 102 1층 2호,37.6232317,127.0609242
상암푸르지오시티점,서울특별시 마포구 월드컵북로54길 25 상암DMC푸르지오시티,37.5814352,126.8893544
홈플러스신내점,서울특별시 중랑구 신내로 201 (신내동),37.6157539,127.0937534
NC불광점,서울특별시 은평구 불광로 20 NC백화점 1층,37.6099033,126.9288338
오류동역점,서울특별시 구로구 경인로20길 4,37.495559,126.8434981
미아점,서울특별시 강북구 도봉로 242,37.6315748,127.0278216
불광역점,서울특별시 은평구 통일로 736,37.611228,126.9295835
증미역점,서울특별시 강서구 양천로 583 우림블루나인 1층,37.556904,126.8642901
노원공릉점,서울특별시 노원구 동일로 1083,37.6265166,127.0721707
