전철역명,호선,X좌표,Y좌표,X좌표(WGS),Y좌표(WGS)
공덕,6,489187,1122797,37.544018,126.951592
디지털미디어시티,6,477750,1131825,37.576646,126.900984
공덕,6,489187,1122797,37.544018,126.951592
효창공원앞,6,491425,1121402,37.539261,126.961351
태릉입구,6,516430,1143262,37.617983,127.07512
청구,6,502872,1127150,37.560245,127.013828
보문,6,504065,1134217,37.585286,127.019381
디지털미디어시티,6,477750,1131825,37.576646,126.900984
동묘앞,6,503422,1130557,37.572627,127.016429
신당,6,503765,1128712,37.565972,127.01782
합정,6,480875,1124362,37.549463,126.913739
연신내,6,482372,1143485,37.619001,126.921008
불광,6,484337,1140982,37.610469,126.929887
약수,6,502197,1125470,37.55434,127.010655
삼각지,6,493970,1120167,37.534777,126.97311
석계,6,514452,1142315,37.614805,127.065851
공덕,6,489187,1122797,37.544018,126.951592
청구,6,502872,1127150,37.560245,127.013828
응암,6,481137,1137787,37.598605,126.915577
역촌,6,482885,1139980,37.606021,126.922744
독바위,6,485010,1143355,37.618456,126.933031
구산,6,481445,1141345,37.611377,126.91727
새절,6,480680,1135812,37.591148,126.913629
증산,6,479815,1133702,37.583876,126.909645
디지털미디어시티,6,477750,1131825,37.576646,126.900984
월드컵경기장,6,477497,1129932,37.569532,126.899298
마포구청,6,478397,1128185,37.563515,126.903343
망원,6,479897,1125917,37.556094,126.910052
상수,6,482785,1123665,37.547716,126.922852
광흥창,6,484776,1123677,37.547456,126.931993
대흥,6,487020,1123710,37.547771,126.942069
효창공원앞,6,491425,1121402,37.539261,126.961351
녹사평,6,496899,1120133,37.534675,126.986695
이태원,6,498620,1120045,37.534488,126.994302
한강진,6,500155,1121477,37.539631,127.001725
버티고개,6,501220,1123845,37.548013,127.007055
창신,6,503160,1132590,37.579661,127.015241
보문,6,504065,1134217,37.585286,127.019381
안암,6,506240,1134387,37.586272,127.029005
고려대,6,507807,1135480,37.590508,127.036296
월곡,6,508970,1138772,37.601948,127.041518
상월곡,6,510502,1140015,37.606377,127.048491
돌곶이,6,512415,1141217,37.610537,127.056431
태릉입구,6,516430,1143262,37.617983,127.07512
화랑대,6,518457,1143835,37.620064,127.084689
봉화산,6,520005,1143042,37.617283,127.091401
상봉,7,518665,1137145,37.596362,127.085032
도봉산,7,510065,1163090,37.689313,127.046222
상봉,7,518665,1137145,37.596362,127.085032
노원,7,513622,1153612,37.655128,127.061368
군자,7,517395,1126285,37.557121,127.079542
건대입구,7,515365,1121815,37.540693,127.07023
고속터미널,7,500913,1111778,37.50481,127.004943
총신대입구(이수),7,495900,1106635,37.486263,126.981989
대림,7,476705,1108675,37.49297,126.895801
가산디지털단지,7,473861,1105307,37.481072,126.882343
온수,7,460825,1108360,37.492258,126.823388
부평구청,7,438020,1112972,37.508336,126.720548
고속터미널,7,500913,1111778,37.50481,127.004943
강남구청,7,508965,1115207,37.517186,127.04128
태릉입구,7,516430,1143262,37.617983,127.07512
공릉,7,515927,1145312,37.625742,127.072896
상도,7,488362,1111262,37.502834,126.94791
건대입구,7,515365,1121815,37.540693,127.07023
대림,7,476705,1108675,37.49297,126.895801
고속터미널,7,500913,1111778,37.50481,127.004943
노원,7,513622,1153612,37.655128,127.061368
총신대입구(이수),7,495900,1106635,37.486263,126.981989
가산디지털단지,7,473861,1105307,37.481072,126.882343
온수,7,460825,1108360,37.492258,126.823388
도봉산,7,510065,1163090,37.689313,127.046222
군자,7,517395,1126285,37.557121,127.079542
태릉입구,7,516430,1143262,37.617983,127.07512
장암,7,511532,1165895,37.700109,127.053196
수락산,7,512022,1159800,37.67785,127.055315
마들,7,512587,1156285,37.66494,127.057675
중계,7,514005,1150745,37.644583,127.064303
하계,7,514942,1148310,37.636352,127.06799
먹골,7,516982,1141245,37.610637,127.077725
중화,7,517345,1138885,37.602545,127.079264
상봉,7,518665,1137145,37.596362,127.085032
면목,7,519095,1135127,37.588579,127.087503
사가정,7,519355,1132955,37.580894,127.088478
용마산,7,519027,1131010,37.573647,127.086727
중곡,7,518432,1128785,37.565923,127.08432
어린이대공원,7,516326,1123811,37.548014,127.074658
뚝섬유원지,7,514630,1119362,37.53154,127.066704
청담,7,511695,1115877,37.519365,127.05335
강남구청,7,508965,1115207,37.517186,127.04128
학동,7,506875,1114372,37.514229,127.031656
논현,7,504607,1113585,37.511093,127.021415
반포,7,502410,1112792,37.508178,127.011727
내방,7,498380,1107067,37.487618,126.993513
남성,7,493425,1106212,37.484596,126.971251
숭실대입구,7,489665,1109427,37.496029,126.953822
장승배기,7,486295,1111810,37.504898,126.93915
신대방삼거리,7,483905,1110495,37.499701,126.928276
보라매,7,482252,1110542,37.499872,126.920428
신풍,7,479802,1110590,37.50008,126.90993
남구로,7,474900,1106587,37.486056,126.887249
철산,7,470762,1103950,37.47605,126.867911
광명사거리,7,467782,1104757,37.479252,126.854876
천왕,7,464220,1106935,37.486637,126.838713
까치울,7,458020,1112272,37.506207,126.810939
부천종합운동장,7,455120,1111972,37.50538,126.797337
춘의,7,452720,1111572,37.503663,126.787036
신중동,7,450320,1111472,37.503048,126.77596
부천시청,7,447620,1111872,37.504631,126.763538
상동,7,445320,1112172,37.505781,126.753083
삼산체육관,7,442720,1112472,37.506411,126.742153
굴포천,7,440720,1112472,37.506997,126.73128
부평구청,7,438020,1112972,37.508336,126.720548
가락시장,8,525992,1108579,37.492522,127.118234
천호,8,527042,1121095,37.538397,127.123572
잠실,8,522390,1114282,37.51395,127.102234
복정,8,527842,1102047,37.470047,127.126662
모란,8,528402,1091947,37.43213,127.129087
잠실,8,522390,1114282,37.51395,127.102234
복정,8,527842,1102047,37.470047,127.126662
모란,8,528402,1091947,37.43213,127.129087
천호,8,527042,1121095,37.538397,127.123572
암사,8,528032,1124410,37.55021,127.127562
강동구청,8,526464,1118973,37.530341,127.120508
몽촌토성,8,524665,1115335,37.517409,127.112359
석촌,8,523577,1112057,37.505431,127.106979
송파,8,524542,1110377,37.499703,127.112183
가락시장,8,525992,1108579,37.492522,127.118234
문정,8,526900,1106552,37.485855,127.1225
장지,8,527750,1104572,37.478703,127.126191
산성,8,532892,1098445,37.457122,127.149908
남한산성입구,8,535225,1097102,37.451535,127.159816
단대오거리,8,534430,1095327,37.44521,127.156866
신흥,8,532420,1094155,37.440918,127.147564
수진,8,530897,1093162,37.437428,127.140722
선정릉,9,509542,1113380,37.51098,127.043593
종합운동장,9,516222,1113652,37.510997,127.073642
고속터미널,9,500913,1111778,37.50481,127.004943
당산,9,478290,1120184,37.53438,126.902281
여의도,9,483100,1116530,37.521624,126.924191
동작,9,495157,1111287,37.502971,126.979306
고속터미널,9,500913,1111778,37.50481,127.004943
김포공항,9,455957,1127820,37.562434,126.801058
김포공항,9,455957,1127820,37.562434,126.801058
종합운동장,9,516222,1113652,37.510997,127.073642
당산,9,478290,1120184,37.53438,126.902281
고속터미널,9,500913,1111778,37.50481,127.004943
동작,9,495157,1111287,37.502971,126.979306
노량진,9,487327,1114430,37.514219,126.942454
선정릉,9,509542,1113380,37.51098,127.043593
김포공항,9,455957,1127820,37.562434,126.801058
여의도,9,483100,1116530,37.521624,126.924191
개화,9,455020,1132300,37.578608,126.798153
